470,"Air Burkina","Dakar","Senegal","Ouagadougou","Burkina Faso",0
470,"Air Burkina","Douala","Cameroon","Cotonou","Benin",0
470,"Air Burkina","Libreville","Gabon","Cotonou","Benin",0
470,"Air Burkina","Lome","Togo","Ouagadougou","Burkina Faso",0
470,"Air Burkina","Niamey","Niger","Ouagadougou","Burkina Faso",0
470,"Air Burkina","Paris","France","Ouagadougou","Burkina Faso",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Abidjan","Cote d'Ivoire",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Accra","Ghana",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Bamako","Mali",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Bobo-dioulasso","Burkina Faso",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Cotonou","Benin",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Dakar","Senegal",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Lome","Togo",0
470,"Air Burkina","Ouagadougou","Burkina Faso","Niamey","Niger",0
1338,"Aerolineas Galapagos (Aerogal)","Bogota","Colombia","Quito","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Cuenca","Ecuador","Quito","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Galapagos","Ecuador","Guayaquil","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Guayaquil","Ecuador","Cuenca","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Guayaquil","Ecuador","Galapagos","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Guayaquil","Ecuador","Quito","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Manta","Ecuador","Quito","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Quito","Ecuador","Bogota","Colombia",0
1338,"Aerolineas Galapagos (Aerogal)","Quito","Ecuador","Cuenca","Ecuador",0
1338,"Aerolineas Galapagos (Aerogal)","Quito","Ecuador","Guayaquil","Ecuador",0
